Deal Name,Company,Pipeline Stage,Priority,Category,Weighted Score,YouTube Fit,Instagram Fit,Next Action,Last Contact,Next Follow-up,Potential Exclusivity / Conflict,Research / Evidence URL,Notes,Deal Value,Currency,Owner
Cloaked — Sponsorship,Cloaked,Not contacted,A,Identity / privacy,4.3,5,5,Review contacts + personalize first touch,,,Identity/privacy overlap.,https://sponsorradar.com/channels/cybernews,Strong conceptual fit; campaign route needs more research.,,EUR,
NordPass — Sponsorship,NordPass,Not contacted,A,Password security,4.25,5,4,Review contacts + personalize first touch,,,Password manager / Nord family coordination.,https://sponsorradar.com/channels/cybernews,Can be approached through Nord contacts if routed internally.,,EUR,
Brilliant — Sponsorship,Brilliant,Not contacted,A,Education / learning,4.25,4,4,Review contacts + personalize first touch,,,Learning-platform category.,https://sponsorradar.com/channels/tldrdaily,Excellent editorial tone match.,,EUR,
World of Warships (Wargaming) — Sponsorship,World of Warships (Wargaming),Not contacted,A,Gaming / military,4.4,5,4,Review contacts + personalize first touch,,,Gaming exclusivity vs War Thunder/Conflict of Nations/etc.,https://sponsorradar.com/channels/theoperationsroom,Historically active creator buyer.,,EUR,
Odoo — Sponsorship,Odoo,Not contacted,A,Business software / SaaS,3.85,4,4,Review contacts + personalize first touch,,,ERP/business software category.,https://sponsorradar.com/channels/perunau,Spain-based contact path is a practical advantage.,,EUR,
MyHeritage — Sponsorship,MyHeritage,Not contacted,A,Genealogy / consumer subscription,4,4,4,Review contacts + personalize first touch,,,Genealogy category.,https://sponsorradar.com/channels/taskandpurpose,Episode selection matters for authenticity.,,EUR,
1Password — Sponsorship,1Password,Not contacted,A,Password security,4.15,5,4,Review contacts + personalize first touch,,,Password-manager category vs NordPass/Keeper/Dashlane/RoboForm.,https://sponsorradar.com/channels/cybernews,"High fit, slightly less certain influencer route.",,EUR,
OneRep — Sponsorship,OneRep,Not contacted,A,Data removal / privacy,4.15,5,4,Review contacts + personalize first touch,,,Data-removal exclusivity.,https://sponsorradar.com/channels/taskandpurpose,Good challenger after Incogni/DeleteMe.,,EUR,
SimpliSafe — Sponsorship,SimpliSafe,Not contacted,A,Home security,4.05,4,5,Review contacts + personalize first touch,,,Home-security category.,https://sponsorradar.com/channels/whataboutit,Agency route may be more effective than corporate cold outreach.,,EUR,
Conflict of Nations — Sponsorship,Conflict of Nations,Not contacted,A,Gaming / strategy,4.3,5,4,Review contacts + personalize first touch,,,Gaming exclusivity.,https://sponsorradar.com/channels/theoperationsroom,Excellent content fit; contact discovery weaker.,,EUR,
Ekster — Sponsorship,Ekster,Not contacted,A,Wallets / EDC,4.05,4,5,Review contacts + personalize first touch,,,Wallet/EDC category.,https://sponsorradar.com/channels/covertcabal,Potentially good Instagram creative.,,EUR,
Rocket Money — Sponsorship,Rocket Money,Not contacted,A,Personal finance,3.75,4,4,Review contacts + personalize first touch,,,Finance category; US focus likely important.,https://sponsorradar.com/channels/covertcabal,Only prioritize highly if US audience share is strong.,,EUR,
Storyblocks — Sponsorship,Storyblocks,Not contacted,A,Creator tools / stock media,3.75,4,4,Review contacts + personalize first touch,,,Stock media exclusivity vs Artlist/Epidemic-type services.,https://sponsorradar.com/channels/searchparty,Potentially stronger if audience includes creators; otherwise pitch channel partnership value.,,EUR,
Internxt — Sponsorship,Internxt,Not contacted,A,Cloud storage / privacy,3.9,4,4,Review contacts + personalize first touch,,,Cloud/security category.,https://sponsorradar.com/channels/cybernews,European privacy positioning fits well.,,EUR,
Windscribe — Sponsorship,Windscribe,Not contacted,A,Privacy / VPN,4.05,5,4,Review contacts + personalize first touch,,,VPN exclusivity.,https://sponsorradar.com/channels/cybernews,Likely lower budgets than category leaders; useful pipeline depth.,,EUR,
Raycon — Sponsorship,Raycon,Not contacted,A,Consumer audio,3.8,4,5,Review contacts + personalize first touch,,,Audio category.,https://sponsorradar.com/channels/theoperationsroom,Useful volume target after high-fit security brands.,,EUR,
Nebula — Sponsorship,Nebula,Not contacted,A,Streaming / educational media,3.75,4,3,Review contacts + personalize first touch,,,Streaming/creator network category.,https://sponsorradar.com/channels/tldrdaily,Commercial model may differ from standard direct-response sponsorship.,,EUR,
Henson Shaving — Sponsorship,Henson Shaving,Not contacted,A,Grooming / DTC,3.65,4,4,Review contacts + personalize first touch,,,Grooming category.,https://sponsorradar.com/channels/taskandpurpose,"Not thematic, but proven audience buyer.",,EUR,
Opera — Sponsorship,Opera,Not contacted,B,Browser / privacy,4.05,4,5,Review contacts + personalize first touch,,,Browser category.,https://sponsorradar.com/channels/newmind,,,EUR,
World of Tanks (Wargaming) — Sponsorship,World of Tanks (Wargaming),Not contacted,B,Gaming / military,3.9,4,4,Review contacts + personalize first touch,,,Gaming category.,https://sponsorradar.com/channels/theoperationsroom,,,EUR,
Rec Watches — Sponsorship,Rec Watches,Not contacted,B,Watches / military heritage,3.95,4,5,Review contacts + personalize first touch,,,Watch category.,https://sponsorradar.com/channels/theoperationsroom,,,EUR,
Imprint — Sponsorship,Imprint,Not contacted,B,Learning app,3.65,4,4,Review contacts + personalize first touch,,,Learning category.,https://sponsorradar.com/channels/tldrdaily,,,EUR,
Skillshare — Sponsorship,Skillshare,Not contacted,B,Education / creator learning,3.65,4,4,Review contacts + personalize first touch,,,Education category.,https://sponsorradar.com/channels/typeashton,,,EUR,
MagellanTV — Sponsorship,MagellanTV,Not contacted,B,Documentary streaming,3.9,5,3,Review contacts + personalize first touch,,,Streaming category.,https://www.magellantv.com,Very strong editorial fit despite weaker current evidence.,,EUR,
Malwarebytes — Sponsorship,Malwarebytes,Not contacted,B,Cybersecurity,3.8,5,4,Review contacts + personalize first touch,,,Security-suite category.,https://www.malwarebytes.com,,,EUR,
Yubico / YubiKey — Sponsorship,Yubico / YubiKey,Not contacted,B,Hardware security,3.8,5,4,Review contacts + personalize first touch,,,Hardware security category.,https://www.yubico.com,,,EUR,
Supremacy 1914 — Sponsorship,Supremacy 1914,Not contacted,B,Gaming / strategy,3.8,4,4,Review contacts + personalize first touch,,,Gaming category.,https://sponsorradar.com/channels/kingsandgenerals,,,EUR,
Reolink — Sponsorship,Reolink,Not contacted,B,Cameras / physical security,3.7,4,5,Review contacts + personalize first touch,,,Security-camera category.,https://reolink.com,,,EUR,
Shortform — Sponsorship,Shortform,Not contacted,B,Learning / book summaries,3.5,4,3,Review contacts + personalize first touch,,,Learning category.,https://sponsorradar.com/channels/thecloserlook,,,EUR,
Qustodio — Sponsorship,Qustodio,Not contacted,B,Family online safety,3.45,3,5,Review contacts + personalize first touch,,,Family-safety category.,https://sponsorradar.com/channels/cybernews,,,EUR,
VEED — Sponsorship,VEED,Not contacted,B,Creator software,3.3,3,5,Review contacts + personalize first touch,,,Video-editing category.,https://sponsorradar.com/channels/cybernews,,,EUR,
Planet Wild — Sponsorship,Planet Wild,Not contacted,B,Conservation subscription,3.3,3,5,Review contacts + personalize first touch,,,Cause/subscription category.,https://sponsorradar.com/channels/typeashton,,,EUR,
Airalo — Sponsorship,Airalo,Not contacted,B,Travel eSIM,3.3,3,5,Review contacts + personalize first touch,,,eSIM category vs Saily/Holafly.,https://www.airalo.com,,,EUR,
Holafly — Sponsorship,Holafly,Not contacted,B,Travel eSIM,3.3,3,5,Review contacts + personalize first touch,,,eSIM category vs Saily/Airalo.,https://esim.holafly.com,,,EUR,
RoboForm — Sponsorship,RoboForm,Not contacted,B,Password security,3.4,4,3,Review contacts + personalize first touch,,,Password-manager category.,https://sponsorradar.com/channels/cybernews,,,EUR,
Squarespace — Sponsorship,Squarespace,Not contacted,B,Website builder,3.15,3,4,Review contacts + personalize first touch,,,Website-builder category.,https://sponsorradar.com/channels/cybernews,,,EUR,
Shopify — Sponsorship,Shopify,Not contacted,B,E-commerce,3.15,3,4,Review contacts + personalize first touch,,,E-commerce category.,https://sponsorradar.com/channels/whataboutit,,,EUR,
FlexiSpot — Sponsorship,FlexiSpot,Not contacted,B,Office furniture,3.05,3,5,Review contacts + personalize first touch,,,Furniture category.,https://sponsorradar.com/channels/whataboutit,,,EUR,
dbrand — Sponsorship,dbrand,Not contacted,B,Consumer accessories,3.2,3,5,Review contacts + personalize first touch,,,Accessories category.,https://sponsorradar.com/channels/taskandpurpose,,,EUR,
Factor — Sponsorship,Factor,Not contacted,B,Meal delivery,3.15,3,4,Review contacts + personalize first touch,,,Meal-delivery exclusivity vs HelloFresh.,https://sponsorradar.com/channels/covertcabal,,,EUR,
HelloFresh — Sponsorship,HelloFresh,Not contacted,B,Meal delivery,3.15,3,4,Review contacts + personalize first touch,,,Meal-delivery exclusivity vs Factor.,https://sponsorradar.com/channels/covertcabal,,,EUR,
Call of War — Sponsorship,Call of War,Not contacted,B,Gaming / strategy,3.3,4,4,Review contacts + personalize first touch,,,Gaming category.,https://www.callofwar.com,,,EUR,
Enlisted (Gaijin) — Sponsorship,Enlisted (Gaijin),Not contacted,B,Gaming / military,3.3,4,4,Review contacts + personalize first touch,,,Gaming category.,https://enlisted.net,,,EUR,
MasterClass — Sponsorship,MasterClass,Not contacted,B,Education / learning,3.3,4,4,Review contacts + personalize first touch,,,Education category.,https://www.masterclass.com,,,EUR,
Blinkist — Sponsorship,Blinkist,Not contacted,B,Learning / summaries,3.3,4,4,Review contacts + personalize first touch,,,Learning category.,https://www.blinkist.com,,,EUR,
Luma AI — Sponsorship,Luma AI,Not contacted,B,AI creative tools,3.2,3,5,Review contacts + personalize first touch,,,AI creative-tool category.,https://lumalabs.ai,,,EUR,
MUBI — Sponsorship,MUBI,Not contacted,B,Film / streaming,3.05,3,4,Review contacts + personalize first touch,,,Streaming category.,https://sponsorradar.com/channels/thecloserlook,,,EUR,
Keeper Security — Sponsorship,Keeper Security,Not contacted,B,Password security,3.15,4,3,Review contacts + personalize first touch,,,Password-manager category.,https://www.keepersecurity.com,,,EUR,
Dashlane — Sponsorship,Dashlane,Not contacted,B,Password security,3.15,4,3,Review contacts + personalize first touch,,,Password-manager category.,https://www.dashlane.com,,,EUR,
Wix — Sponsorship,Wix,Not contacted,B,Website builder,2.9,3,4,Review contacts + personalize first touch,,,Website-builder category.,https://sponsorradar.com/channels/cybernews,,,EUR,
Similarweb — Sponsorship,Similarweb,Not contacted,B,Market intelligence,3.15,3,3,Review contacts + personalize first touch,,,Analytics category.,https://sponsorradar.com/channels/cybernews,,,EUR,
Bluehost — Sponsorship,Bluehost,Not contacted,B,Web hosting,2.75,3,3,Review contacts + personalize first touch,,,Hosting category.,https://sponsorradar.com/channels/cybernews,,,EUR,
Policygenius — Sponsorship,Policygenius,Not contacted,B,Insurance marketplace,2.65,3,3,Review contacts + personalize first touch,,,Financial-services category.,https://sponsorradar.com/channels/taskandpurpose,,,EUR,
