Full Name,Company,Contact Rank,Job Title,Employer / Agency,Contact Type,Why This Contact,LinkedIn / Route,Email,Verification Confidence,Verified / Researched,Source URL,Suggested Personalization,Outreach Status,Last Contact,Next Follow-up,Notes,Is Placeholder
Ingrida Ivinskaitė,NordVPN,1,Influencer Marketing,Nord Security,Internal,Long-tenured influencer marketer working across international creator campaigns.,https://lt.linkedin.com/in/iivinskaite,,High,2026-09-10,https://lt.linkedin.com/in/iivinskaite,Mention direct fit with privacy/security/geopolitics.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Tom Babic,NordVPN,2,Influencer Manager,Nord Security,Internal,Creator-focused influencer manager with explicit YouTube orientation.,https://fr.linkedin.com/in/tom-babic-072bb1149,,High,2026-09-10,https://fr.linkedin.com/in/tom-babic-072bb1149,Lead with long-form YouTube performance; add Instagram as incremental reach.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Amber Verstegen,NordVPN,3,Influencer Marketing Manager,NordVPN / Nord Security,Internal,Relevant influencer marketing contact for NordVPN.,https://nl.linkedin.com/in/amberverstegen/nl,,High,2026-09-10,https://nl.linkedin.com/in/amberverstegen/nl,Pitch cross-platform paid integration.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Jake Storer,NordVPN,4,Influencer Marketing / Podcasts,Nord Security,Internal,Works in influencer/podcast partnerships.,https://uk.linkedin.com/in/jake-storer,,Medium-High,2026-09-10,https://uk.linkedin.com/in/jake-storer,Use as alternate creator-partnership route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Vilmantas Andrukonis,NordVPN,5,Influencer Marketing leadership,Nord Security,Internal,Works with and hires international influencer teams.,https://lt.linkedin.com/in/vilmantas-andrukonis,,Medium-High,2026-09-10,https://lt.linkedin.com/in/vilmantas-andrukonis,Escalation route / team routing.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Gabrielė Palepšaitė,Surfshark,1,Head of Influencer Marketing,Surfshark,Internal,"Leads influencer strategy across US, Asia and Europe.",https://lt.linkedin.com/in/gabrielemarozaite,,High,2026-09-10,https://lt.linkedin.com/in/gabrielemarozaite,Reference Surfshark's creator-led growth model and cross-platform opportunity.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Domas Černiauskis,Surfshark,2,Creator Partnerships Team Lead,Surfshark / Incogni,Internal,Publicly speaks about building markets through creators and Incogni's creator strategy.,https://lt.linkedin.com/in/domascer,,High,2026-09-10,https://lt.linkedin.com/in/domascer,Excellent fit for either Surfshark or Incogni; lead with creator/audience alignment.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Povilas Čižinauskas,Surfshark,3,Influencer Marketing Manager,Surfshark,Internal,Current influencer marketing route.,https://lt.linkedin.com/in/povilas-%C4%8Di%C5%BEinauskas-61a95623a,,High,2026-09-10,https://lt.linkedin.com/in/povilas-%C4%8Di%C5%BEinauskas-61a95623a,Pitch YouTube integration with optional Instagram extension.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Ignas Liutkus,Surfshark,4,Strategic Partnerships Manager,Surfshark,Internal,Strategic partnership route.,https://lt.linkedin.com/in/ignasliutkus,,Medium-High,2026-09-10,https://lt.linkedin.com/in/ignasliutkus,Use for broader recurring or bundle partnership.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Erika Jankauskaitė,Surfshark,5,Influencer Marketing,Surfshark,Internal,Connected to Surfshark influencer organization and creator campaigns.,https://lt.linkedin.com/in/erika-jankauskait%C4%97-94aa3a1a8,,Medium,2026-09-10,https://lt.linkedin.com/in/erika-jankauskait%C4%97-94aa3a1a8,Secondary route after creator leads.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Domas Černiauskis,Incogni,1,Creator Partnerships Team Lead,Surfshark / Incogni,Shared team,Publicly presents on how creator partnerships built and scaled Incogni.,https://lt.linkedin.com/in/domascer,,High,2026-09-10,https://lt.linkedin.com/in/domascer,Mention creator-market fit and audience trust around privacy/data brokers.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Ieva Papievytė,Incogni,2,Partnership Growth Manager,Incogni,Internal,Current Incogni partnerships-team member focused on growth partnerships.,https://lt.linkedin.com/in/ieva-papievyt%C4%97-45567b206,,High,2026-09-10,https://lt.linkedin.com/in/ieva-papievyt%C4%97-45567b206,Offer sponsorship + affiliate upside without leading on rates.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Povilas Čižinauskas,Incogni,3,Influencer Marketing Manager,Surfshark,Shared organization,Works within the same creator partnership ecosystem and engages Incogni team activity.,https://lt.linkedin.com/in/povilas-%C4%8Di%C5%BEinauskas-61a95623a,,Medium,2026-09-10,https://lt.linkedin.com/in/povilas-%C4%8Di%C5%BEinauskas-61a95623a,Ask to route to the Incogni buyer if not directly responsible.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,Incogni,4,Partnerships / Affiliate Manager,Incogni,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Incogni + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Incogni,5,Growth / Performance Marketing Manager,Incogni,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Incogni + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Asante Gadson,DeleteMe,1,Influencer Marketing Manager,DeleteMe,Internal,Direct influencer marketing remit at DeleteMe.,https://www.linkedin.com/in/asantegadson,,High,2026-09-10,https://www.linkedin.com/in/asantegadson,Doxxing/data broker + crime/security editorial bridge.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Destiny Weiss,DeleteMe,2,Affiliate Marketing / Growth Partnerships,DeleteMe,Internal,Partnerships and affiliate-growth route.,https://www.linkedin.com/in/destiny-weiss,,High,2026-09-10,https://www.linkedin.com/in/destiny-weiss,Offer paid sponsorship with affiliate layer as upside.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Ethan Mantel,DeleteMe,3,Brand / Content / Growth / Performance,DeleteMe,Internal,"Relevant to brand, YouTube and performance acquisition.",https://www.linkedin.com/in/ethanmantel,,Medium-High,2026-09-10,https://www.linkedin.com/in/ethanmantel,Lead with long-form audience trust and direct-response suitability.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Melissa Miller,DeleteMe,4,Marketing Growth / Partnerships,DeleteMe,Internal,Growth and partnerships leadership route.,https://www.linkedin.com/in/melissa-malcom-miller,,Medium,2026-09-10,https://www.linkedin.com/in/melissa-malcom-miller,Use for escalation after influencer team.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Matt E.,DeleteMe,5,Partner Ecosystem,DeleteMe,Internal,Works on the partner ecosystem and partner business growth.,https://www.linkedin.com/in/matt-e-317a6440,,Medium,2026-09-10,https://www.linkedin.com/in/matt-e-317a6440,Frame potential recurring sponsorship + performance partnership.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,Aura,1,Head of Influencer / Creator Marketing,Aura,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/scammerpayback,Search Aura + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Aura,2,Influencer Marketing Manager,Aura,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/scammerpayback,Search Aura + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Aura,3,Creator Partnerships / Sponsorships Manager,Aura,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/scammerpayback,Search Aura + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Aura,4,Partnerships / Affiliate Manager,Aura,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/scammerpayback,Search Aura + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Aura,5,Growth / Performance Marketing Manager,Aura,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/scammerpayback,Search Aura + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Neringa Kudarauskiene,Saily,1,Partnerships / Affiliate,Saily / Nord Security,Internal,Public Saily affiliate/partner-program route with dedicated partnership managers.,https://lt.linkedin.com/in/neringakudarauskiene,,High,2026-09-10,https://lt.linkedin.com/in/neringakudarauskiene,Pitch paid creator integration and optional affiliate layer.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Ingrida Ivinskaitė,Saily,2,Influencer Marketing,Nord Security,Shared team,Works across Nord international influencer organization.,https://lt.linkedin.com/in/iivinskaite,,High,2026-09-10,https://lt.linkedin.com/in/iivinskaite,Ask specifically about Saily creator campaigns.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Laura Garsdal Kavaliauskė,Saily,3,Influencer / creator team,Nord Security / Saily,Shared team,Publicly connected to hiring/building Saily influencer function.,https://lt.linkedin.com/in/lauragarsdalkavaliauske,,Medium-High,2026-09-10,https://lt.linkedin.com/in/lauragarsdalkavaliauske,Mention YouTube + Instagram bundle.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Vilmantas Andrukonis,Saily,4,Influencer Marketing leadership,Nord Security,Shared team,Leadership/hiring route across influencer teams.,https://lt.linkedin.com/in/vilmantas-andrukonis,,Medium-High,2026-09-10,https://lt.linkedin.com/in/vilmantas-andrukonis,Escalation / routing.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Mindaugas Cekauskas,Saily,5,Saily / Growth,Saily,Internal,Current Saily team contact relevant to growth route.,https://lt.linkedin.com/in/mindaugas-cekauskas-3522a313,,Medium,2026-09-10,https://lt.linkedin.com/in/mindaugas-cekauskas-3522a313,Secondary contact.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Nuno Paiva,Private Internet Access,1,Influencer Campaigns – PIA,MatchUp,Agency,Publicly connected to an ongoing Private Internet Access influencer campaign.,https://ca.linkedin.com/in/nunolpaiva,,High,2026-09-10,https://ca.linkedin.com/in/nunolpaiva,Approach as PIA campaign-side buyer; lead with long-form security/geopolitics fit.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Gabriel Pedrosa,Private Internet Access,2,Influencer Campaigns – PIA,MatchUp,Agency,Directly associated with PIA campaign work.,https://br.linkedin.com/in/gabriel-pedrosa-3823121a7,,High,2026-09-10,https://br.linkedin.com/in/gabriel-pedrosa-3823121a7,Same PIA campaign angle; ask about current creator roster.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,Private Internet Access,3,Creator Partnerships / Sponsorships Manager,Private Internet Access,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/perunau,Search Private Internet Access + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Private Internet Access,4,Partnerships / Affiliate Manager,Private Internet Access,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/perunau,Search Private Internet Access + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Private Internet Access,5,Growth / Performance Marketing Manager,Private Internet Access,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/perunau,Search Private Internet Access + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
David Hamidzadah,Plaud,1,"Head of Marketing, Americas",Plaud,Internal,Leads marketing in the Americas; publicly hiring influencer leadership.,https://www.linkedin.com/in/david-hamidzadah,,High,2026-09-10,https://www.linkedin.com/in/david-hamidzadah,Pitch US audience if strong; emphasize multi-platform reach.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Megan Bray,Plaud,2,Influencer Marketing,Plaud,Internal,Current influencer-marketing route associated with hiring/team activity.,https://www.linkedin.com/in/meganbray628,,High,2026-09-10,https://www.linkedin.com/in/meganbray628,Lead with 121k Instagram plus YouTube long-form.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Brandon Lutz,Plaud,3,Marketing / Influencer team,Plaud,Internal,Publicly connected to Plaud EU influencer-team expansion.,https://uk.linkedin.com/in/lutzbrandon,,Medium-High,2026-09-10,https://uk.linkedin.com/in/lutzbrandon,Use for European routing.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Zhiqi Mai,Plaud,4,Marketing / Influencer team,Plaud,Internal,Publicly connected to Plaud influencer hiring/activity.,https://sg.linkedin.com/in/zhiqimai,,Medium,2026-09-10,https://sg.linkedin.com/in/zhiqimai,Secondary route.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,Plaud,5,Growth / Performance Marketing Manager,Plaud,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/covertcabal,Search Plaud + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Mihai Silviu Istrate,Bitdefender,1,Global Marketing & Product Manager – Security for Creators,Bitdefender,Internal,Explicitly leads/markets a security-for-creators proposition.,https://ro.linkedin.com/in/silviuistrate,,High,2026-09-10,https://ro.linkedin.com/in/silviuistrate,Very direct bridge: creator security + crime/intelligence audience.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Adelina Nastase,Bitdefender,2,"Senior Manager, Global Digital & Marketing Communication, B2C",Bitdefender,Internal,Coordinates B2C activities including social media and influencers.,https://ro.linkedin.com/in/adelina-nastase,,High,2026-09-10,https://ro.linkedin.com/in/adelina-nastase,Mention cybersecurity audience and creator-led storytelling.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Elena S.,Bitdefender,3,Social Media Manager,Bitdefender,Internal,Manages B2C/B2B2C social campaigns and influencer relationships.,https://ro.linkedin.com/in/elena-s-1b157116,,High,2026-09-10,https://ro.linkedin.com/in/elena-s-1b157116,Instagram + YouTube package.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Razvan Todor,Bitdefender,4,"VP, Strategic Partnerships and Alliances, CSG",Bitdefender,Internal,Global consumer cybersecurity partnerships executive.,https://ro.linkedin.com/in/razvantodor,,Medium-High,2026-09-10,https://ro.linkedin.com/in/razvantodor,Escalation for broader strategic partnership.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Alina Anton,Bitdefender,5,Senior PR Manager France/Italy/Spain,Bitdefender,Internal,Senior Spain-facing marketing/PR route with partner and social experience.,https://ro.linkedin.com/in/alinaanton,,Medium,2026-09-10,https://ro.linkedin.com/in/alinaanton,Useful regional route from Spain.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Roberta Corrêa,Hostinger,1,Creator Partnerships,Hostinger,Internal,Creator-partnership role tied to Hostinger's creator ecosystem.,https://br.linkedin.com/in/robertacorrea2,,High,2026-09-10,https://br.linkedin.com/in/robertacorrea2,Pitch the channel as a credible long-form creator plus fast-growing Instagram media brand.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Karolis Varnelis,Hostinger,2,Partnerships / Influencer / Affiliate,Hostinger,Internal,Direct partnerships and influencer-growth relevance.,https://lt.linkedin.com/in/karolis-varnelis,,High,2026-09-10,https://lt.linkedin.com/in/karolis-varnelis,Paid creator partnership first; performance component second.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Francisco Marques Alves,Hostinger,3,Influencer Partnerships – US,Hostinger,Internal,Relevant influencer partnerships route for US market.,https://pt.linkedin.com/in/fmmalves,,High,2026-09-10,https://pt.linkedin.com/in/fmmalves,Especially strong if analytics show US-heavy audience.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Kasparas Jakštonis,Hostinger,4,Partnerships / Influencer Marketing / BD,Hostinger,Internal,Direct partnerships and creator-marketing remit.,https://lt.linkedin.com/in/kjakstonis,,Medium-High,2026-09-10,https://lt.linkedin.com/in/kjakstonis,Use as alternate buyer.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Mariana Ramires Ramos Afonso,Hostinger,5,YouTube Influencer Strategy,Hostinger,Internal,Publicly associated with Hostinger YouTube influencer strategy.,https://pt.linkedin.com/in/mariana-ramires-ramos-afonso/pt,,High,2026-09-10,https://pt.linkedin.com/in/mariana-ramires-ramos-afonso/pt,Lead with YouTube long-form and recent performance.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Pao G.,War Thunder (Gaijin),1,Gaijin Entertainment,Gaijin Entertainment,Internal,Current Gaijin contact; public activity includes War Thunder partnership discussions in the 2026 esports ecosystem.,https://mx.linkedin.com/in/paotwinni,,Medium,2026-09-10,https://mx.linkedin.com/in/paotwinni,Ask specifically for creator/influencer sponsorship owner.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
Olha Luka,War Thunder (Gaijin),2,Gaijin Entertainment,Gaijin Entertainment,Internal,Current Gaijin team contact visibly connected to War Thunder.,https://ge.linkedin.com/in/olha-luka,,Low-Medium,2026-09-10,https://ge.linkedin.com/in/olha-luka,"Routing fallback, not verified sponsorship buyer.",Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,War Thunder (Gaijin),3,Creator Partnerships / Sponsorships Manager,War Thunder (Gaijin),Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/militaryhistoryvisualized,Search War Thunder (Gaijin) + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,War Thunder (Gaijin),4,Partnerships / Affiliate Manager,War Thunder (Gaijin),Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/militaryhistoryvisualized,Search War Thunder (Gaijin) + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,War Thunder (Gaijin),5,Growth / Performance Marketing Manager,War Thunder (Gaijin),Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/militaryhistoryvisualized,Search War Thunder (Gaijin) + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
Hannah D.,Norton / LifeLock,1,Marketing,Gen,Internal,"Current Gen marketing contact publicly hiring senior social/influencer leadership for Norton, LifeLock and Avast.",https://www.linkedin.com/in/hannahdt,,High,2026-09-10,https://www.linkedin.com/in/hannahdt,Reference current social/influencer expansion and crime/cyber audience fit.,Not contacted,,,Named contact verified from current public profile/search evidence.,No
TO RESEARCH,Norton / LifeLock,2,Influencer Marketing Manager,Norton / LifeLock,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Norton / LifeLock + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Norton / LifeLock,3,Creator Partnerships / Sponsorships Manager,Norton / LifeLock,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Norton / LifeLock + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Norton / LifeLock,4,Partnerships / Affiliate Manager,Norton / LifeLock,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Norton / LifeLock + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Norton / LifeLock,5,Growth / Performance Marketing Manager,Norton / LifeLock,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Norton / LifeLock + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,ExpressVPN,1,Head of Influencer / Creator Marketing,ExpressVPN,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search ExpressVPN + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,ExpressVPN,2,Influencer Marketing Manager,ExpressVPN,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search ExpressVPN + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,ExpressVPN,3,Creator Partnerships / Sponsorships Manager,ExpressVPN,Primary operator,Direct remit for creator deals and sponsorships.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search ExpressVPN + 'Creator Partnerships / Sponsorships Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,ExpressVPN,4,Partnerships / Affiliate Manager,ExpressVPN,Secondary buyer,Useful for hybrid paid + performance structure or internal routing.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search ExpressVPN + 'Partnerships / Affiliate Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,ExpressVPN,5,Growth / Performance Marketing Manager,ExpressVPN,Escalation,Useful where creator media sits inside performance acquisition.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/taskandpurpose,Search ExpressVPN + 'Growth / Performance Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Cloaked,1,Head of Influencer / Creator Marketing,Cloaked,Primary buyer,Find the person who owns creator acquisition and sponsorship budget.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Cloaked + 'Head of Influencer / Creator Marketing'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
TO RESEARCH,Cloaked,2,Influencer Marketing Manager,Cloaked,Primary operator,Likely day-to-day buyer/negotiator for integrations.,,,Open – no current person verified,2026-09-10,https://sponsorradar.com/channels/cybernews,Search Cloaked + 'Influencer Marketing Manager'. Validate current employment before messaging.,Research needed,,,Intentional research slot. Do not contact a guessed person; replace only after current role is verified.,Yes
