Company Name,Website,Category,Priority,YouTube Fit,Instagram Fit,Proven Creator Spend,Thematic Fit,Contactability,Weighted Score,Evidence of Creator Sponsorship,Comparable Channels,Personalization Hook,Likely Exclusivity / Conflict,Research / Evidence URL,Evidence Confidence,Company Status,Next Action,Owner,Last Contact,Next Follow-up,Notes
War Thunder (Gaijin),https://warthunder.com,Gaming / military,A,5,5,5,4,3,4.55,"Very frequent sponsor of military history, defence and analysis creators.",Covert Cabal; The Operations Room; Military History Visualized,Strong audience overlap with military/geopolitics viewers; use only where game promotion fits brand tone.,Gaming category; avoid stacking competing war games.,https://sponsorradar.com/channels/militaryhistoryvisualized,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Strong reach buyer but integration tone should remain credible.
Norton / LifeLock,https://us.norton.com,Cybersecurity / identity protection,A,5,5,3,5,3,4.3,Cybersecurity creator sponsorship presence; parent Gen is actively building social/influencer leadership.,Cybernews,"Scams, identity theft and digital crime are natural contextual bridges.",Security-suite/identity category overlap with Aura and Bitdefender.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel + current influencer hiring,Not contacted,Review contacts + personalize first touch,,,,Likely strongest for US audience.
ExpressVPN,https://www.expressvpn.com,Privacy / VPN,A,5,4,4,5,3,4.4,Long-running YouTube sponsor and appears on defence/current-affairs creator rosters.,Task & Purpose; creator commentary channels,Privacy/surveillance/censorship fit.,VPN exclusivity.,https://sponsorradar.com/channels/taskandpurpose,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Kape-owned; outreach route needs fresh contact verification.
Cloaked,https://www.cloaked.com,Identity / privacy,A,5,5,3,5,3,4.3,Appears in politics/current-affairs creator sponsorship sets.,Politics/current-affairs creators,"Alias identities, masked contact details and privacy fit intelligence/security topics.",Identity/privacy overlap.,https://sponsorradar.com/channels/cybernews,Adjacent evidence – verify campaign before outreach,Not contacted,Review contacts + personalize first touch,,,,Strong conceptual fit; campaign route needs more research.
NordPass,https://nordpass.com,Password security,A,5,4,3,5,4,4.25,Appears in cybersecurity creator sponsorships and shares Nord influencer ecosystem.,Cybernews,Credential theft and account security.,Password manager / Nord family coordination.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,Can be approached through Nord contacts if routed internally.
Brilliant,https://brilliant.org,Education / learning,A,4,4,5,4,4,4.25,Very frequent sponsor of serious educational and long-form analysis channels.,TLDR Daily; New Mind,"Curious, analytical audience; emphasize reasoning, data and systems thinking.",Learning-platform category.,https://sponsorradar.com/channels/tldrdaily,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Excellent editorial tone match.
World of Warships (Wargaming),https://worldofwarships.com,Gaming / military,A,5,4,5,4,3,4.4,Long-running sponsor of military history/analysis channels.,The Operations Room; Kings and Generals; Military History Visualized,Military-history/geopolitics audience overlap.,Gaming exclusivity vs War Thunder/Conflict of Nations/etc.,https://sponsorradar.com/channels/theoperationsroom,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Historically active creator buyer.
Odoo,https://www.odoo.com,Business software / SaaS,A,4,4,4,3,5,3.85,Repeated sponsor of long-form defence/geopolitics creators and has influencer marketing staff in Spain.,Perun; Search Party; Task & Purpose,"Sell audience quality, long-form trust and business/entrepreneur segment rather than crime topic itself.",ERP/business software category.,https://sponsorradar.com/channels/perunau,Verified – comparable channels + current Spain influencer team,Not contacted,Review contacts + personalize first touch,,,,Spain-based contact path is a practical advantage.
MyHeritage,https://www.myheritage.com,Genealogy / consumer subscription,A,4,4,5,3,4,4,"Extensive creator sponsorship activity, including military/history/analysis channels.",Covert Cabal; The Operations Room; Task & Purpose,"History, identity, migration and family-story angles can fit selected episodes.",Genealogy category.,https://sponsorradar.com/channels/taskandpurpose,Verified – comparable channels + partnerships team,Not contacted,Review contacts + personalize first touch,,,,Episode selection matters for authenticity.
1Password,https://1password.com,Password security,A,5,4,3,5,3,4.15,Appears among cybersecurity creator sponsors; current performance marketing organization.,Cybernews,"Operational security, credential theft and account compromise map directly to content themes.",Password-manager category vs NordPass/Keeper/Dashlane/RoboForm.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel; creator-specific buyer less clear,Not contacted,Review contacts + personalize first touch,,,,"High fit, slightly less certain influencer route."
OneRep,https://onerep.com,Data removal / privacy,A,5,4,3,5,3,4.15,Appears on defence/current-affairs sponsor rosters.,Task & Purpose,Personal data exposure and doxxing fit.,Data-removal exclusivity.,https://sponsorradar.com/channels/taskandpurpose,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,Good challenger after Incogni/DeleteMe.
SimpliSafe,https://simplisafe.com,Home security,A,4,5,4,4,3,4.05,Active sponsor in adjacent science/current-affairs channels; campaigns handled by creator agencies.,What About It,Security-minded audience; physical safety angle without exploiting graphic crime.,Home-security category.,https://sponsorradar.com/channels/whataboutit,Verified – comparable channel + agency route,Not contacted,Review contacts + personalize first touch,,,,Agency route may be more effective than corporate cold outreach.
Conflict of Nations,https://www.conflictnations.com,Gaming / strategy,A,5,4,4,5,2,4.3,Appears repeatedly on defence/military-history channel sponsor rosters.,The Operations Room; Military History Visualized,Modern geopolitics and military strategy are unusually close to product fantasy.,Gaming exclusivity.,https://sponsorradar.com/channels/theoperationsroom,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Excellent content fit; contact discovery weaker.
Ekster,https://www.ekster.com,Wallets / EDC,A,4,5,4,4,3,4.05,Repeated sponsor in defence/analysis channels.,Covert Cabal,Security-conscious male adult audience; travel/EDC/anti-theft positioning.,Wallet/EDC category.,https://sponsorradar.com/channels/covertcabal,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,Potentially good Instagram creative.
Rocket Money,https://www.rocketmoney.com,Personal finance,A,4,4,4,3,4,3.75,Active direct-response sponsor in adjacent long-form channels.,Covert Cabal; What About It,Pitch financially engaged adult audience; keep integration detached from violent/graphic episodes.,Finance category; US focus likely important.,https://sponsorradar.com/channels/covertcabal,Verified – comparable channels + influencer team,Not contacted,Review contacts + personalize first touch,,,,Only prioritize highly if US audience share is strong.
Storyblocks,https://www.storyblocks.com,Creator tools / stock media,A,4,4,4,3,4,3.75,Sponsor of analysis/educational channels and maintains creator partnership staff.,Search Party; New Mind,The channel itself is proof of sophisticated visual storytelling; creator audience halo can support the pitch.,Stock media exclusivity vs Artlist/Epidemic-type services.,https://sponsorradar.com/channels/searchparty,Verified – comparable channels + partnerships team,Not contacted,Review contacts + personalize first touch,,,,Potentially stronger if audience includes creators; otherwise pitch channel partnership value.
Internxt,https://internxt.com,Cloud storage / privacy,A,4,4,3,5,3,3.9,Appears in cybersecurity sponsorship sets.,Cybernews,Privacy-first storage and encrypted cloud angle.,Cloud/security category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,European privacy positioning fits well.
Windscribe,https://windscribe.com,Privacy / VPN,A,5,4,3,5,2,4.05,Appears in cybersecurity creator sponsorships.,Cybernews,Privacy and censorship angle.,VPN exclusivity.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,Likely lower budgets than category leaders; useful pipeline depth.
Raycon,https://rayconglobal.com,Consumer audio,A,4,5,4,3,3,3.8,Long-running sponsor of history/military/analysis channels.,The Operations Room; Kings and Generals,Broad consumer fit and highly sponsorable Instagram creative.,Audio category.,https://sponsorradar.com/channels/theoperationsroom,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Useful volume target after high-fit security brands.
Nebula,https://nebula.tv,Streaming / educational media,A,4,3,4,4,3,3.75,Repeated sponsor/partner of long-form analytical creators.,TLDR Daily; The Closer Look,Audience already values long-form independent explanatory media.,Streaming/creator network category.,https://sponsorradar.com/channels/tldrdaily,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,Commercial model may differ from standard direct-response sponsorship.
Henson Shaving,https://hensonshaving.com,Grooming / DTC,A,4,4,4,3,3,3.65,Repeated sponsor of analytical/news channels.,Search Party; TLDR Daily; Task & Purpose,Adult male long-form audience; simple direct-response read.,Grooming category.,https://sponsorradar.com/channels/taskandpurpose,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,"Not thematic, but proven audience buyer."
Opera,https://www.opera.com,Browser / privacy,B,4,5,4,4,3,4.05,Sponsor of tech/educational analysis channels.,New Mind; cybersecurity/tech creators,"Browser privacy, research workflow and online security.",Browser category.,https://sponsorradar.com/channels/newmind,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
World of Tanks (Wargaming),https://worldoftanks.com,Gaming / military,B,4,4,4,4,3,3.9,Appears in military-analysis sponsor rosters.,The Operations Room,Military/strategy audience overlap.,Gaming category.,https://sponsorradar.com/channels/theoperationsroom,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Rec Watches,https://www.recwatches.com,Watches / military heritage,B,4,5,3,5,2,3.95,Sponsor in military-analysis creator ecosystem.,The Operations Room,Military/history storytelling and enthusiast audience are unusually aligned.,Watch category.,https://sponsorradar.com/channels/theoperationsroom,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Imprint,https://www.imprintapp.com,Learning app,B,4,4,3,4,3,3.65,Sponsor in explanatory/news creator ecosystem.,TLDR Daily,Visual learning + complex subject matter fit.,Learning category.,https://sponsorradar.com/channels/tldrdaily,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Skillshare,https://www.skillshare.com,Education / creator learning,B,4,4,4,3,3,3.65,Established YouTube sponsor and present in adjacent analysis channels.,Type Ashton; The Closer Look; New Mind,Learning/creator skills angle.,Education category.,https://sponsorradar.com/channels/typeashton,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,
MagellanTV,https://www.magellantv.com,Documentary streaming,B,5,3,3,5,2,3.9,Known sponsor category for history/documentary creators; direct campaign evidence should be rechecked before outreach.,History/documentary creator ecosystem,Documentary audience overlap is excellent.,Streaming category.,https://www.magellantv.com,Strategic fit – creator spend to re-verify,Not contacted,Review contacts + personalize first touch,,,,Very strong editorial fit despite weaker current evidence.
Malwarebytes,https://www.malwarebytes.com,Cybersecurity,B,5,4,2,5,2,3.8,Strong thematic fit; current creator spend not verified in the comparison set used.,Cybersecurity creator ecosystem,"Malware, scams and cybercrime stories.",Security-suite category.,https://www.malwarebytes.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Yubico / YubiKey,https://www.yubico.com,Hardware security,B,5,4,2,5,2,3.8,Strong security-creator fit; creator sponsorship occurs but current scale needs re-verification.,Security / privacy creator ecosystem,Operational security and account protection are unusually credible for this channel.,Hardware security category.,https://www.yubico.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Supremacy 1914,https://www.supremacy1914.com,Gaming / strategy,B,4,4,4,4,2,3.8,Sponsor of military-history creators.,Kings and Generals,Strategy/history audience overlap.,Gaming category.,https://sponsorradar.com/channels/kingsandgenerals,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Reolink,https://reolink.com,Cameras / physical security,B,4,5,2,5,2,3.7,Physical-security product with creator sponsorship activity; comparable-channel evidence should be rechecked.,Security / tech creator ecosystem,Surveillance cameras and physical security are directly adjacent.,Security-camera category.,https://reolink.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Shortform,https://www.shortform.com,Learning / book summaries,B,4,3,3,4,3,3.5,Sponsor of long-form analysis channels.,The Closer Look,Curious audience interested in deeper understanding and nonfiction.,Learning category.,https://sponsorradar.com/channels/thecloserlook,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Qustodio,https://www.qustodio.com,Family online safety,B,3,5,3,4,2,3.45,Appears in cybersecurity creator sponsorships.,Cybernews,"Online safety, scams and digital risks; Instagram may be stronger than YouTube.",Family-safety category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
VEED,https://www.veed.io,Creator software,B,3,5,3,3,3,3.3,Appears in cybersecurity/tech creator sponsorship sets.,Cybernews,Creator workflow; Instagram package potentially useful.,Video-editing category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Planet Wild,https://planetwild.com,Conservation subscription,B,3,5,3,3,3,3.3,Sponsor in geopolitics/educational analysis channels.,Type Ashton; New Mind,Mission-driven audience and documentary storytelling.,Cause/subscription category.,https://sponsorradar.com/channels/typeashton,Verified – comparable channels,Not contacted,Review contacts + personalize first touch,,,,
Airalo,https://www.airalo.com,Travel eSIM,B,3,5,3,3,3,3.3,Large creator/affiliate category; exact comparable-channel campaign not verified in this pass.,Travel / international news creator ecosystem,International/geopolitics audience + travel utility; Instagram strong.,eSIM category vs Saily/Holafly.,https://www.airalo.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Holafly,https://esim.holafly.com,Travel eSIM,B,3,5,3,3,3,3.3,Large creator/affiliate category; exact comparable-channel campaign not verified in this pass.,Travel / international creator ecosystem,International audience and travel utility; Instagram strong.,eSIM category vs Saily/Airalo.,https://esim.holafly.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
RoboForm,https://www.roboform.com,Password security,B,4,3,3,4,2,3.4,Appears in cybersecurity creator sponsorships.,Cybernews,Credential security.,Password-manager category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Squarespace,https://www.squarespace.com,Website builder,B,3,4,4,2,3,3.15,Appears in cybersecurity/tech creator sponsorship sets.,Cybernews,Creator/entrepreneur audience rather than editorial theme.,Website-builder category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Shopify,https://www.shopify.com,E-commerce,B,3,4,4,2,3,3.15,Appears in adjacent science/analysis creator sponsorships.,What About It,Entrepreneur/business segment.,E-commerce category.,https://sponsorradar.com/channels/whataboutit,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
FlexiSpot,https://www.flexispot.com,Office furniture,B,3,5,3,2,3,3.05,Sponsor in science/current-affairs and history channels.,What About It; history creators,Broad adult DTC fit; stronger on Instagram/visual package.,Furniture category.,https://sponsorradar.com/channels/whataboutit,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
dbrand,https://dbrand.com,Consumer accessories,B,3,5,3,3,2,3.2,Sponsor on defence/current-affairs channels.,Task & Purpose,Tech-savvy male audience; irreverent brand can work with channel personality.,Accessories category.,https://sponsorradar.com/channels/taskandpurpose,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Factor,https://www.factor75.com,Meal delivery,B,3,4,4,2,3,3.15,Sponsor in defence/analysis channels.,Covert Cabal,Broad adult direct-response category.,Meal-delivery exclusivity vs HelloFresh.,https://sponsorradar.com/channels/covertcabal,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
HelloFresh,https://www.hellofresh.com,Meal delivery,B,3,4,4,2,3,3.15,Sponsor in defence/analysis channels.,Covert Cabal,Broad adult direct-response category.,Meal-delivery exclusivity vs Factor.,https://sponsorradar.com/channels/covertcabal,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Call of War,https://www.callofwar.com,Gaming / strategy,B,4,4,2,4,2,3.3,Very strong adjacency to the same strategy-gaming buyer set; current campaign evidence not re-verified here.,Military-history creator ecosystem,Strategy/geopolitics audience overlap.,Gaming category.,https://www.callofwar.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Enlisted (Gaijin),https://enlisted.net,Gaming / military,B,4,4,2,4,2,3.3,Same publisher ecosystem as War Thunder; current standalone creator sponsorship spend needs verification.,Military/history creator ecosystem,Military-history audience overlap.,Gaming category.,https://enlisted.net,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
MasterClass,https://www.masterclass.com,Education / learning,B,4,4,3,3,2,3.3,Established creator-advertising category; current adjacent-channel activity needs verification.,Long-form educational creator ecosystem,Curious adult audience and premium learning positioning.,Education category.,https://www.masterclass.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Blinkist,https://www.blinkist.com,Learning / summaries,B,4,4,3,3,2,3.3,Established creator-advertising category; current adjacent-channel activity needs verification.,Long-form educational creator ecosystem,Nonfiction/learning audience.,Learning category.,https://www.blinkist.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Luma AI,https://lumalabs.ai,AI creative tools,B,3,5,3,3,2,3.2,Creator sponsorship activity exists; exact current adjacent-channel buy should be verified before outreach.,Large explainer / tech creator ecosystem,Visual storytelling + creator workflow; Instagram creative potential.,AI creative-tool category.,https://lumalabs.ai,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
MUBI,https://mubi.com,Film / streaming,B,3,4,3,3,2,3.05,Sponsor of long-form cultural analysis creators.,The Closer Look,Use documentary/cinematic storytelling angle rather than crime theme.,Streaming category.,https://sponsorradar.com/channels/thecloserlook,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Keeper Security,https://www.keepersecurity.com,Password security,B,4,3,2,4,2,3.15,Strong thematic fit; current YouTube creator spend not verified in this pass.,Cybersecurity creator ecosystem,Credential theft/account compromise angle.,Password-manager category.,https://www.keepersecurity.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Dashlane,https://www.dashlane.com,Password security,B,4,3,2,4,2,3.15,Strong thematic fit; current YouTube creator spend not verified in this pass.,Cybersecurity creator ecosystem,Credential security.,Password-manager category.,https://www.dashlane.com,Strategic fit – creator spend to verify,Not contacted,Review contacts + personalize first touch,,,,
Wix,https://www.wix.com,Website builder,B,3,4,3,2,3,2.9,Appears in cybersecurity/tech creator sponsorship sets.,Cybernews,Creator/entrepreneur audience.,Website-builder category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Similarweb,https://www.similarweb.com,Market intelligence,B,3,3,3,4,2,3.15,Appears in cybersecurity creator sponsorship sets.,Cybernews,OSINT/research-minded audience and intelligence/data framing.,Analytics category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Bluehost,https://www.bluehost.com,Web hosting,B,3,3,3,2,3,2.75,Appears in cybersecurity/tech creator sponsorship sets.,Cybernews,Creator/entrepreneur segment.,Hosting category.,https://sponsorradar.com/channels/cybernews,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
Policygenius,https://www.policygenius.com,Insurance marketplace,B,3,3,3,2,2,2.65,Appears in defence/current-affairs sponsorship sets.,Task & Purpose,Adult US audience; use only if geography skews strongly US.,Financial-services category.,https://sponsorradar.com/channels/taskandpurpose,Verified – comparable channel,Not contacted,Review contacts + personalize first touch,,,,
